GrLivArea,SalePrice,label
1710,208500,4
1262,181500,4
1786,223500,4
1717,140000,4
2198,250000,4
1362,143000,4
1694,307000,4
2090,200000,4
1774,129900,4
1077,118000,4
1040,129500,4
2324,345000,4
912,144000,4
1494,279500,4
1253,157000,4
854,132000,4
1004,149000,4
1296,90000,4
1114,159000,4
1339,139000,4
2376,325300,4
1108,139400,4
1795,230000,4
1060,129900,4
1060,154000,4
1600,256300,4
900,134800,4
1704,306000,4
1600,207500,4
520,68500,4
1317,40000,4
1228,149350,4
1234,179900,4
1700,165500,4
1561,277500,4
2452,309000,4
1097,145000,4
1297,153000,4
1057,109000,4
1152,82000,4
1324,160000,4
1328,170000,4
884,144000,4
938,130250,4
1150,141000,4
1752,319900,4
2149,239686,4
1656,249700,4
1452,113000,4
955,127000,4
1470,177000,4
1176,114500,4
816,110000,4
1842,385000,4
1360,130000,4
1425,180500,4
1739,172500,4
1720,196500,4
2945,438780,4
780,124900,4
1158,158000,4
1111,101000,4
1370,202500,4
1710,140000,4
2034,219500,4
2473,317000,4
2207,180000,4
1479,226000,4
747,80000,4
2287,225000,4
2223,244000,4
845,129500,4
1718,185000,4
1086,144900,4
1605,107400,4
988,91000,4
952,135750,4
1285,127000,4
1768,136500,4
1230,110000,4
2142,193500,4
1337,153500,4
1563,245000,4
1065,126500,4
1474,168500,4
2417,260000,4
1560,174000,4
1224,164500,4
1526,85000,4
990,123600,4
1040,109900,4
1235,98600,4
964,163500,4
2291,133900,4
1786,204750,4
1470,185000,4
1588,214000,4
960,94750,4
835,83000,4
1225,128950,4
1610,205000,4
1732,178000,4
1535,118964,4
1226,198900,4
1818,169500,4
1992,250000,4
1047,100000,4
789,115000,4
1517,115000,4
1844,190000,4
1855,136900,4
1430,180000,4
2696,383970,4
2259,217000,4
2320,259500,4
1458,176000,4
1092,139000,4
1125,155000,4
3222,320000,4
1456,163990,4
988,180000,4
1123,100000,4
1080,136000,4
1199,153900,4
1586,181000,4
754,84500,4
958,128000,4
840,87000,4
1348,155000,4
1053,150000,4
2157,226000,4
2054,244000,4
1327,150750,4
